"panstwo","rok","smiertelnosc_dzieci","emisja_co2","smierci_w_katastrofach","hdi","gdpPerCap","%pracownikow_w_przemysle","przewidywana_dlug_zycia","nowe_przyp_raka_pluc_M","nowe_przyp_raka_pluc_K","sustainable_development_indeks"
"Afghanistan",1990,179,0.21,144,0.302,1120,12.4,53.8,21.5,3.96,32.5
"Afghanistan",1992,167,0.0954,614,0.316,981,11.6,54.2,20.8,3.92,34
"Afghanistan",1994,156,0.0752,160,0.307,498,11.5,53.9,20.4,3.87,33
"Afghanistan",1996,146,0.0619,70,0.335,698,10.7,54.7,20,3.74,36
"Afghanistan",1998,138,0.0522,7120,0.344,634,9.95,53.3,19.8,3.67,37.1
"Afghanistan",2000,129,0.037,37,0.35,584,8.98,54.7,19.8,3.64,37.7
"Afghanistan",2002,121,0.0471,1290,0.384,1190,10.3,55.5,19.8,3.68,41.4
"Afghanistan",2004,113,0.0368,18,0.409,1200,11.3,57.1,20.1,3.84,44
"Afghanistan",2006,104,0.0622,382,0.429,1320,12.2,58,20,3.97,46.2
"Afghanistan",2008,96,0.152,1320,0.447,1480,13.6,59.2,19.9,4.11,48.1
"Afghanistan",2010,88,0.29,350,0.472,1960,14.7,60.5,19.8,4.29,50.8
"Afghanistan",2012,80.5,0.345,378,0.489,2080,16.3,61.4,19.6,4.48,52.7
"Afghanistan",2014,73.5,0.253,575,0.5,2100,17.2,61.9,19.5,4.66,53.8
"Afghanistan",2016,67.5,0.245,84,0.502,2060,18,62,19.4,4.82,54.1
"Afghanistan",2018,62.3,0.254,123,0.509,2030,18.6,62.7,19.3,5.02,54.9
"Albania",1990,40.7,1.68,0,0.65,4830,11.6,72.8,52.5,9.56,69.9
"Albania",1992,37.4,0.775,11,0.615,3270,11.6,73.2,49,9.69,66.2
"Albania",1994,34.5,0.612,0,0.624,3920,12,74.6,43.8,9.27,67.2
"Albania",1996,31.7,0.651,0,0.646,4910,11.6,74.5,46.8,10.2,69.5
"Albania",1998,28.8,0.563,0,0.655,4820,12.2,74.8,47.1,10.7,70.6
"Albania",2000,25.9,0.966,0,0.671,5890,13.7,75.4,46.1,11.1,72.3
"Albania",2002,23.1,1.2,7,0.684,6750,14.8,75.9,44.1,11.2,73.7
"Albania",2004,20.4,1.34,3,0.696,7580,15.8,75.8,44.8,11.2,74.7
"Albania",2006,17.9,1.27,0,0.713,8570,16.9,76.9,40.3,10.6,76.3
"Albania",2008,15.5,1.46,0,0.728,9910,19.9,77.6,39.3,9.97,77.7
"Albania",2010,13.3,1.56,0,0.745,10700,18.6,78.1,39.5,8.97,79.6
"Albania",2012,11.4,1.69,5,0.775,11200,16.9,78.2,41.1,9.41,82.2
"Albania",2014,10.1,1.9,0,0.787,11600,18.7,78.2,43.1,9.77,82.6
"Albania",2016,9.27,1.57,2,0.788,12300,19.4,78.2,44.7,10.2,82.1
"Albania",2018,8.82,1.59,0,0.792,13300,20,78.4,45.1,10.5,82.3
"Algeria",1990,49.5,2.98,0,0.572,8750,25.4,67.5,19.4,4,61.6
"Algeria",1992,47,2.96,21,0.582,8380,25,68.3,19.2,4.02,62.7
"Algeria",1994,44.8,3.06,233,0.59,7790,24.8,68.7,18.5,4.02,63.5
"Algeria",1996,42.5,3.31,4,0.602,8120,24.7,69.6,17.6,4,64.9
"Algeria",1998,40.8,3.53,0,0.621,8360,24.7,70.2,16.2,3.91,66.9
"Algeria",2000,39.7,2.82,48,0.637,8710,25,71,15.3,3.95,68.6
"Algeria",2002,37.8,2.81,48,0.657,9230,24.7,71.8,14.9,3.96,70.8
"Algeria",2004,35,2.69,22,0.677,10100,26.8,72.6,15.1,3.97,72.9
"Algeria",2006,32,2.98,5,0.69,10500,28.4,73.3,15.3,4.01,74.4
"Algeria",2008,29.4,3.14,93,0.702,10800,29.6,73.9,15.8,4.02,75.6
"Algeria",2010,27.4,3.28,0,0.721,11000,30.9,74.5,16,4.01,77.6
"Algeria",2012,26.1,3.43,69,0.728,11200,31,74.9,15.6,4.11,78.4
"Algeria",2014,25.3,3.68,6,0.736,11500,30.9,75.3,15.2,4.18,79.1
"Algeria",2016,24.5,3.64,0,0.743,11800,30.8,75.7,15.1,4.22,79.8
"Algeria",2018,23.5,3.69,6,0.746,11600,30.2,76,14.9,4.38,80.1
"Angola",1990,223,0.43,0,0.641181410161485,1610,8.88,49.7,24.8,4.23,56.7479920877161
"Angola",1992,224,0.408,0,0.650469398998256,1620,8.66,50.3,24.8,4.36,56.7645609749053
"Angola",1994,224,0.286,0,0.659757387835027,1300,8.5,50.3,24.8,4.44,56.7811298620944
"Angola",1996,221,0.725,0,0.6690453766718,1780,8.46,51.7,24.2,4.37,56.7976987492836
"Angola",1998,215,0.474,0,0.678333365508571,2110,8.51,50.6,24.3,4.57,56.8142676364728
"Angola",2000,206,0.581,59,0.4,2340,8.67,52.8,24.1,4.72,43.1
"Angola",2002,193,0.72,8,0.426,2930,8.94,54.5,22.9,4.65,45.8
"Angola",2004,176,0.998,28,0.446,3560,8.84,55.5,23,4.83,48.1
"Angola",2006,157,1.1,0,0.473,5610,8.32,57,22.7,4.83,50.9
"Angola",2008,138,1.18,7,0.501,7850,7.75,58.8,23,4.91,53.9
"Angola",2010,120,1.24,25,0.517,7690,7.96,60.2,23.6,5.18,55.8
"Angola",2012,105,1.35,0,0.544,8040,7.85,61.4,24.1,5.42,58.6
"Angola",2014,92.9,1.64,0,0.565,8240,7.57,63,23.7,5.52,60.8
"Angola",2016,84,1.18,113,0.578,7570,7.19,63.9,23.6,5.82,62.2
"Angola",2018,77.2,1.12,8,0.582,6930,6.79,64.6,23.7,6.16,62.7
"Argentina",1990,28.6,3.43,21,0.718,14100,32.9,72.5,56.8,9.82,77.1
"Argentina",1992,27.3,3.61,45,0.73,16200,29.7,72.8,57.5,10.3,77.1
